"filename", "language", "Python", "Markdown", "HTML", "CSS", "SVG", "JavaScript", "OpenXml", "comment", "blank", "total"
"d:\Projects\pharmify\user\migrations\0007_alter_owner_avatar.py", "Python", 12, 0, 0, 0, 0, 0, 0, 1, 6, 19
"d:\Projects\pharmify\user\migrations\0008_alter_owner_avatar.py", "Python", 12, 0, 0, 0, 0, 0, 0, 1, 6, 19
"d:\Projects\pharmify\user\migrations\0009_alter_owner_avatar.py", "Python", 12, 0, 0, 0, 0, 0, 0, 1, 6, 19
"d:\Projects\pharmify\user\migrations\0010_alter_owner_avatar.py", "Python", 12, 0, 0, 0, 0, 0, 0, 1, 6, 19
"d:\Projects\pharmify\user\migrations\0011_alter_owner_license.py", "Python", 12, 0, 0, 0, 0, 0, 0, 1, 6, 19
"d:\Projects\pharmify\user\migrations\0012_alter_owner_phone_number.py", "Python", 12, 0, 0, 0, 0, 0, 0, 1, 6, 19
"d:\Projects\pharmify\user\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Projects\pharmify\user\models.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"d:\Projects\pharmify\user\templates\comp-otp-form.html", "HTML", 0, 0, 34, 0, 0, 0, 0, 4, 3, 41
"d:\Projects\pharmify\user\templates\email-template-otp.html", "HTML", 0, 0, 109, 0, 0, 0, 0, 9, 33, 151
"d:\Projects\pharmify\user\templates\login.html", "HTML", 0, 0, 87, 0, 0, 0, 0, 14, 27, 128
"d:\Projects\pharmify\user\templates\password\password_reset.html", "HTML", 0, 0, 69, 0, 0, 0, 0, 11, 23, 103
"d:\Projects\pharmify\user\templates\password\password_reset_done.html", "HTML", 0, 0, 41, 0, 0, 0, 0, 9, 15, 65
"d:\Projects\pharmify\user\templates\password\password_reset_email.html", "HTML", 0, 0, 114, 0, 0, 0, 0, 7, 31, 152
"d:\Projects\pharmify\user\templates\password\password_reset_form.html", "HTML", 0, 0, 89, 0, 0, 0, 0, 13, 26, 128
"d:\Projects\pharmify\user\templates\password\password_reset_sent.html", "HTML", 0, 0, 41, 0, 0, 0, 0, 10, 13, 64
"d:\Projects\pharmify\user\templates\settings\account-privacy.html", "HTML", 0, 0, 98, 0, 0, 0, 0, 10, 31, 139
"d:\Projects\pharmify\user\templates\settings\edit-profile.html", "HTML", 0, 0, 216, 0, 0, 0, 0, 29, 67, 312
"d:\Projects\pharmify\user\templates\settings\settings.html", "HTML", 0, 0, 36, 0, 0, 0, 0, 9, 17, 62
"d:\Projects\pharmify\user\templates\signup.html", "HTML", 0, 0, 156, 0, 0, 0, 0, 23, 38, 217
"d:\Projects\pharmify\user\templates\verify-email.html", "HTML", 0, 0, 187, 0, 0, 0, 0, 22, 42, 251
"d:\Projects\pharmify\user\tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"d:\Projects\pharmify\user\urls.py", "Python", 22, 0, 0, 0, 0, 0, 0, 2, 6, 30
"d:\Projects\pharmify\user\utils.py", "Python", 20, 0, 0, 0, 0, 0, 0, 2, 6, 28
"d:\Projects\pharmify\user\views.py", "Python", 163, 0, 0, 0, 0, 0, 0, 15, 38, 216
"Total", "-", 777, 18, 1757, 2046, 885, 1471, 375, 713, 1503, 9545
